Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
27;infrastructure;YANEZ TAPIA;E4:AB:89:0A:32:08;;11;No;WPA2,AES-CCM;No;270.0;0;10;0;0;0;0;0;;;Fri Oct 20 09:12:17 2023;Fri Oct 20 09:14:49 2023;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
28;infrastructure;;B0:1F:8C:E0:E8:82;;6;No;WPA3,AES-CCM,OWE;No;130.0;0;1;0;0;0;0;0;;;Fri Oct 20 09:12:57 2023;Fri Oct 20 09:14:42 2023;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
29;infrastructure;VTR-2644004;E4:57:40:FD:01:3D;;6;No;WPA2,AES-CCM;No;130.0;0;4;0;0;0;0;0;;;Fri Oct 20 09:11:56 2023;Fri Oct 20 09:14:38 2023;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
30;infrastructure;HUAWEI-B612-3BA6;00:94:EC:95:3B:A6;;9;No;WPA2,AES-CCM;No;130.0;0;13;0;5;0;0;5;;;Fri Oct 20 09:12:01 2023;Fri Oct 20 09:14:44 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
31;infrastructure;;00:94:EC:95:3B:AA;;9;No;WPA2,AES-CCM;No;130.0;0;60;0;0;0;0;0;;;Fri Oct 20 09:11:50 2023;Fri Oct 20 09:14:48 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
32;infrastructure;VTR-9510041;AC:F8:CC:40:0A:D0;;6;No;WPA2,AES-CCM;No;130.0;0;5;0;1;0;0;1;;;Fri Oct 20 09:11:55 2023;Fri Oct 20 09:14:27 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
33;infrastructure;HUAWEI-F1FB6D;A8:2B:CD:DE:18:48;;8;No;WPA,AES-CCM,TKIP;No;130.0;0;6;0;4;0;0;4;;;Fri Oct 20 09:11:46 2023;Fri Oct 20 09:14:47 2023;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
34;infrastructure;VTR-0983291;E4:57:40:C0:5A:9D;;6;No;WPA2,AES-CCM;No;130.0;0;9;0;1;0;0;1;;;Fri Oct 20 09:12:28 2023;Fri Oct 20 09:14:45 2023;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
35;infrastructure;;8A:D8:1B:C6:83:E9;;2;No;WPA2,AES-CCM;No;195.0;0;61;0;0;0;0;0;;;Fri Oct 20 09:11:46 2023;Fri Oct 20 09:14:43 2023;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
36;infrastructure;;B0:1F:8C:E1:B2:02;;11;No;WPA3,AES-CCM,OWE;No;130.0;0;30;0;0;0;0;0;;;Fri Oct 20 09:11:55 2023;Fri Oct 20 09:14:45 2023;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
